"","gene_num","result"
"1",50,0.15
"2",67,0.183333333333333
"3",26,0.283333333333333
"4",65,0.316666666666667
"5",13,0.333333333333333
"6",4,0.35
"7",2,0.383333333333333
"8",3,0.383333333333333
"9",6,0.383333333333333
"10",7,0.383333333333333
"11",8,0.383333333333333
"12",9,0.383333333333333
"13",11,0.383333333333333
"14",12,0.383333333333333
"15",14,0.383333333333333
"16",15,0.383333333333333
"17",16,0.383333333333333
"18",17,0.383333333333333
"19",18,0.383333333333333
"20",19,0.383333333333333
